address,bathrooms,country,detailedType_typology,detailedType_subTypology,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,numPhotos,operation,hasParkingSpace,parkingSpaceIncluded,parkingSpacePrice,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts_subtitle,suggestedTexts_title,thumbnail,url,geopoint
calle de Fernández de los Ríos,1,es,flat,penthouse,2165,Chamberí,True,V40-CS-3198,6,False,False,True,False,False,40.4361269,-3.7045268,Madrid,Arapiles,False,24,rent,,,,1450.0,16.0,8.3327762E7,penthouse,Madrid,2,False,88.0,good,"Arapiles, Madrid",Ático en calle de Fernández de los Ríos,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0b/4b/7f/615855582.jpg,https://www.idealista.com/inmueble/83327762/,POINT(-3.7045268 40.4361269)
"calle de Alfonso X, Madrid",2,es,flat,,2160,Chamberí,True,SGF130208,1,False,False,True,False,False,40.4329391,-3.6902397,Madrid,Almagro,False,29,rent,,,,1900.0,19.0,8.3328209E7,flat,Madrid,1,False,100.0,good,"Almagro, Madrid","Piso en calle de Alfonso X, Madrid",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6d/33/0b/615867527.jpg,https://www.idealista.com/inmueble/83328209/,POINT(-3.6902397 40.4329391)
barrio Fuente del Berro,1,es,flat,duplex,3268,Salamanca,True,,-1,False,False,False,True,False,40.4278649,-3.6684726,Madrid,Fuente del Berro,False,16,rent,,,,1600.0,25.0,8.3348557E7,duplex,Madrid,2,False,65.0,good,"Fuente del Berro, Madrid",Dúplex,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0d/fe/50/616527576.jpg,https://www.idealista.com/inmueble/83348557/,POINT(-3.6684726 40.4278649)
cervantes,1,es,flat,studio,777,Centro,False,03380,1,False,False,True,True,True,40.4122465,-3.6970391,Madrid,Huertas-Cortes,False,23,rent,,,,900.0,16.0,8.2870532E7,studio,Madrid,0,False,56.0,good,"Huertas-Cortes, Madrid",Estudio en cervantes,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8f/f4/bc/606732906.jpg,https://www.idealista.com/inmueble/82870532/,POINT(-3.6970391 40.4122465)
hermano Gárate,2,es,flat,,4482,Tetuán,True,03176,6,False,False,True,True,True,40.4564421,-3.6955918,Madrid,Cuzco-Castillejos,False,25,rent,,,,1380.0,15.0,8.2750714E7,flat,Madrid,2,False,95.0,good,"Cuzco-Castillejos, Madrid",Piso en hermano Gárate,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3c/9a/ae/604132008.jpg,https://www.idealista.com/inmueble/82750714/,POINT(-3.6955918 40.4564421)
angosta de los Mancebos,1,es,flat,duplex,732,Centro,True,03215,-1,False,False,True,True,True,40.4145127,-3.7123467,Madrid,Palacio,False,24,rent,,,,1350.0,19.0,8.2784472E7,duplex,Madrid,2,False,70.0,good,"Palacio, Madrid",Dúplex en angosta de los Mancebos,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/45/cf/9f/604896439.jpg,https://www.idealista.com/inmueble/82784472/,POINT(-3.7123467 40.4145127)
"calle de Ramiro II, Madrid",1,es,flat,studio,3124,Chamberí,True,03334,4,False,False,True,True,True,40.4447081,-3.7063459,Madrid,Vallehermoso,False,25,rent,,,,760.0,19.0,8.2836801E7,studio,Madrid,0,False,40.0,good,"Vallehermoso, Madrid","Estudio en calle de Ramiro II, Madrid",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c9/8c/3a/606072852.jpg,https://www.idealista.com/inmueble/82836801/,POINT(-3.7063459 40.4447081)
"calle de Pradillo, Madrid",4,es,flat,duplex,4466,Chamartín,True,RE-pala,6,False,False,True,False,False,40.4482572,-3.671586,Madrid,Ciudad Jardín,False,29,rent,True,True,,4000.0,24.0,8.2837761E7,duplex,Madrid,4,False,170.0,good,"Ciudad Jardín, Madrid","Dúplex en calle de Pradillo, Madrid",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d6/49/2b/606090712.jpg,https://www.idealista.com/inmueble/82837761/,POINT(-3.671586 40.4482572)
galileo,1,es,flat,,1657,Chamberí,True,00850,2,False,False,True,True,True,40.4311127,-3.708955,Madrid,Arapiles,False,25,rent,,,,1000.0,33.0,8.1334833E7,flat,Madrid,1,False,30.0,good,"Arapiles, Madrid",Piso en galileo,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/37/6b/a7/587614740.jpg,https://www.idealista.com/inmueble/81334833/,POINT(-3.708955 40.4311127)
calle Rafael Salgado,3,es,flat,,4524,Chamartín,True,,5,False,False,True,False,False,40.4557903,-3.6895075,Madrid,Bernabéu-Hispanoamérica,False,45,rent,True,True,,3000.0,17.0,8.2682276E7,flat,Madrid,4,False,180.0,good,"Bernabéu-Hispanoamérica, Madrid",Piso en calle Rafael Salgado,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bb/69/d9/602595190.jpg,https://www.idealista.com/inmueble/82682276/,POINT(-3.6895075 40.4557903)
